UUID,Artist,Track title,Album,Duration (milliseconds)
abcc4bd9-08ce-30f3-bea9-4c130e5f8c61,-M-,A celle qui dure,Je dis aime,225000
619b1ad0-0951-3444-ab18-b76a9e9f0aad,-M-,Je dis aime,Je dis aime,236000
514b1a03-671e-3507-bf68-e2bb8a4293f7,-M-,La fleur,Le Baptême,179000
84ba75c2-ea4a-39f7-b787-72a907d08404,-M-,Nostalgic du cool,Le Baptême,221000
241b0770-9a83-3be6-83be-1e73e4c0dfc7,-M-,Nostalgic du cool (Live),Le Tour De M,185389
f4759322-cf2a-3387-9063-21b6a2829acb,-M-,Qui est le plus fragile,Je dis aime,175000
995ebb7e-2d3a-3700-9d6c-08b5b4b80fe5,3 Doors Down,Here Without You,Away From The Sun,238000
27863c19-6299-3e6a-92a0-218f8d83a6d4,3OH!3,STARSTRUKK (feat. KATYPERRY),STARSTRUKK (feat. KATYPERRY),203000
331580da-00b0-373c-9bc1-c418b131d9dc,4Lyn,Eobane,Take It as a Compliment,202000
a73bfe2f-b8e0-3acd-973b-d0f4c870d574,5'Nizza,Немае куль,О5,169613
1dea00fd-3d69-31a0-8ee1-c953f2159c3c,5'Nizza,Свобода,Анплаггед,183507
e2fbedaa-4cdf-3ee4-b3d6-68bb14ac3fb3,5'Nizza,Стрела,Анплаггед,128429
4f72a92c-ee41-3022-99ca-dea515b5f52a,5'Nizza,Ты кидал,Анплаггед,186711
96863bde-6337-3592-ab3a-af150e6c3ca8,5'Nizza,Ушедшим слишком рано,Анплаггед,208561
b98811b8-1acc-3254-8e20-0eee08fac09c,5’Nizza,Весна,Анплаггед,253857
d5712602-506a-3afb-a32f-8483d98c2452,5’Nizza,Нева,Анплаггед,291422
6c14ac55-5cdc-3091-b832-4a2008fd250d,5’Nizza,Солдат,Анплаггед,192653
71f648aa-9f52-3599-81a1-ac44600a56bb,5’Nizza,Я с тобой,Анплаггед,250682
7d4f7c80-7a8d-36df-8b13-435993f76faf,8 Bit Universe,Feel Good Inc (8 Bit Version),8 Bit Chips and Dip,221000
f83ca3e4-52d0-39f3-a93d-73804a61661c,a-ha,Celice (Radio Cut),Celice,210704
43af7d53-0705-379a-8a8f-7b0d28b948c5,a-ha,Summer Moved On,Minor Earth | Major Sky,239746
4fe31a7c-cfe2-3a1b-9fd2-fd15346e2982,a-ha,Take On Me,Hunting High And Low (Deluxe Edition),228000
72b84d19-6994-359b-a0a8-0f0e9b265150,a-ha,Velvet,Minor Earth | Major Sky,258128
8a955d4d-b3a7-395d-9822-aac7baa25d63,Adam Skorupa,Peaceful Moments,The Witcher (Original Game Soundtrack),310000
60d11ecd-c458-342c-9576-74de57be359c,Adam Skorupa,Tales Of The Witcher,Inspired By The Witcher,157456
bcb1c99f-26a0-3a29-8f3a-01e87ba1ffc5,Akira Yamaoka,Love Psalm,Silent Hill 2 OST,265304
dc49f811-59d2-3755-84a2-e8a036c02d52,Alain Souchon,Foule sentimentale,C'est Deja Ca,324908
6f6326c0-9b6a-366f-be2f-67c3a2c73923,Alex Torres y Los Reyes Latinos,Verde Y Maduro,Elementos,261326
9a035764-6911-3582-9cd6-178403dc7ce1,Alex Torres Y Su Orquesta,Viernes Social,25 To Life,267384
39749068-e8a1-3123-b506-5309d029a32c,Alexandra Stan,Mr. Saxobeat,Mr.Saxobeat (Remixes),195000
719418fc-e81c-3332-9474-8a3471250804,Alexandra Stan,Mr. Saxobeat (Acappella),Mr.Saxobeat (Remixes),182000
e6ca55e8-22c9-32cc-b57b-7a0ce52df5a0,Alice Cooper,Poison,Trash,270000
bc7278a7-8b49-3925-8a8d-282aa1d4663d,Alien Ant Farm,Smooth Criminal,ANThology,209000
cdbeb46f-8a2b-30b7-8547-cd9a28b5708f,All Saints,Pure Shores,The Beach [Original Soundtrack],269557
f25f16ec-1acd-334c-9b56-6dd4eeeec603,Alla Farmer,Circus (Original Mix),Circus,385000
cb417ac8-98f3-3a67-a579-f4a171f5ae16,Allegaeon,1.618,Elements of the Infinite,258000
a30726f4-7330-32ec-bba6-102f1b6ff10b,Amaranthe,Drop Dead Cynical,Massive Addictive,197877
177f81b9-8061-340b-9405-9a0f69dfdc75,Amberian Dawn,Cherish My Memory,Magic Forest,259000
4b6cf8cf-b8c2-3048-98cd-ad3a2c38946c,Ame Caleen,A demi-nue (Space Morisson Radio Edit),A demi-nue,190000
7eca4235-0335-38c5-bdd3-f7cf8d011189,Amorphis,Alone,Am Universum,378119
22e39865-b0df-3187-88c0-e20295cc113b,Amorphis,Black Winter Day,Black Winter Day (EP),230894
70ca1bda-2e9c-3a1a-9365-d8459d48e61f,Amorphis,Black Winter Day,Tales From The Thousand Lakes,230894
66d5af5f-0ae0-3d5e-97da-041c771e9614,Amorphis,Drowned Maid,Tales From The Thousand Lakes,262002
f06a6eb9-4e04-34ff-bcd7-3ec65a57fb48,Amorphis,House of Sleep,Eclipse,255000
f7b908ac-1eac-3032-ae01-4e59591f444f,Amorphis,Light My Fire,Black Winter Day (EP),172694
605f80b3-9c10-302d-bad4-90007fd329ba,Amorphis,Relief,Elegy,249258
dc9761ba-a8e2-3009-a692-8d315ef18492,Amorphis,The Night Is Over,Am Universum,244295
caee4412-d2e8-3f34-bd9e-4830a4793048,Anastacia,Freak of Nature,Freak of Nature,219000
f5ab0bc1-4ad9-39d4-81e1-0f52cf2dfd60,Anastacia,Paid My Dues,Freak of Nature,200000
0fea36db-059a-3add-ad51-5eb7d75282f3,Anastacia,Sick and Tired,Anastacia,210000
1748e57e-28c9-32ae-928b-22c4a4e6ab62,Anastacia,Sick And Tired,Anastacia,210337
e5f9aff2-d81e-3093-9f4c-4e3b5f291a7d,Andy Timmons,Cry for You,"That Was Then, This Is Now",415000
6d3362f1-e8b5-3727-95c9-b4b7f28b3638,Andy Timmons,Groove or Die,"That Was Then, This Is Now",148000
40648051-6aa3-3071-be5d-fcd084401067,Angtoria,Confide in me,God has a plan for us all,254000
00e98f2c-c1a3-3d3d-87f3-8516840c2aef,Annihilator,King Of The Kill,King Of The Kill,191895
7c500ce6-ff2c-3df2-b8d2-0a876ec8dca2,Anouk,Don't,Lost Tracks,216084
700f0aaf-59a7-38fc-b832-7922f6e4b6aa,Anouk,It Wasn't Me,Urban Solitude,267467
48f62a74-b9da-3c5d-8943-705d0f92e41f,Anouk,Make It Rain,Who's Your Momma,241841
a6438946-d8c9-3453-b8ea-14ec50a117d0,Anouk,Might As Well,Who's Your Momma,189544
